username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ORayL0214;2015-02-01 02:28;0;1;"We At The #mardigras #kreweduvieux @rblanchard5 @drulezina @Mimi's In The Marigny http:// instagram.com/p/yirKfkA2OT/";;@rblanchard5 @drulezina @Mimi;#mardigras #kreweduvieux;"561712562161872897";https://twitter.com/ORayL0214/status/561712562161872897
BenJerniganBand;2015-02-01 01:15;0;0;"Happy Mardi Gras. #mardigras @Snug Harbor http:// instagram.com/p/yii4BVq8vx/";;@Snug;#mardigras;"561694335054667777";https://twitter.com/BenJerniganBand/status/561694335054667777
loltamarie;2015-02-01 01:03;0;0;"It's #MardiGras time I am in da #quarter";;;#MardiGras #quarter;"561691338492477440";https://twitter.com/loltamarie/status/561691338492477440
MarinMcCeaux;2015-02-01 00:59;0;0;"I almost forgot my fav 12s accoutrement for NOLA livin #GoHawks #WeAre12 #SB49 #MardiGras @Uptown,… http:// instagram.com/p/yihFHDroGl/";;@Uptown;#GoHawks #WeAre12 #SB49 #MardiGras;"561690386624970752";https://twitter.com/MarinMcCeaux/status/561690386624970752
MarinMcCeaux;2015-02-01 00:55;0;0;"Happy carnival 12s @seahawks style!! It's the day before! #GoHawks #WeAre12 #SB49 #MardiGras @Uptown,… http:// instagram.com/p/yignFGroF1/";;@seahawks @Uptown;#GoHawks #WeAre12 #SB49 #MardiGras;"561689354658381824";https://twitter.com/MarinMcCeaux/status/561689354658381824
chickrawker;2015-02-01 00:54;0;0;"#HotelModern lit up for #mardigras #carnival #nola @Lee Circle http:// instagram.com/p/yigaejo3TV/";;@Lee;#HotelModern #mardigras #carnival #nola;"561688921428750336";https://twitter.com/chickrawker/status/561688921428750336
michelleschoser;2015-02-01 00:32;0;0;"Waiting for the Krewe Du Vieux on #frenchman #neworleans #mardigras #parade #bluenile #gimmesomebeads … http:// instagram.com/p/yid8GDoTQn/";;;#frenchman #neworleans #mardigras #parade #bluenile #gimmesomebeads;"561683480140988416";https://twitter.com/michelleschoser/status/561683480140988416
CunninghamNola;2015-02-01 00:29;1;6;"#KreweDuVieux it's time! #MardiGras #MardiGras2015 #Nola pic.twitter.com/HOcm1qh11s";;;#KreweDuVieux #MardiGras #MardiGras2015 #Nola;"561682814563651584";https://twitter.com/CunninghamNola/status/561682814563651584
christinaatina;2015-02-01 00:07;0;1;"When in rome #mardigras #freethenipple pic.twitter.com/ypYHHjOZyC";;;#mardigras #freethenipple;"561677194724790274";https://twitter.com/christinaatina/status/561677194724790274
polkadotpamela;2015-02-01 00:05;0;0;"It's #Carnival time! #KreweduVieux #KDV #beggingforchange #nola #MardiGras #frenchmenstreet @Krewe Du… http:// instagram.com/p/yia1msLSrp/";;@Krewe;#Carnival #KreweduVieux #KDV #beggingforchange #nola #MardiGras #frenchmenstreet;"561676692633452545";https://twitter.com/polkadotpamela/status/561676692633452545
NickZRobey;2015-01-31 23:53;0;0;"Almost time! #kreweduvieux #mardigras #nola @The Marigny Triangle http:// instagram.com/p/yiZg4bHVoe/";;@The;#kreweduvieux #mardigras #nola;"561673748538224641";https://twitter.com/NickZRobey/status/561673748538224641
blodge8;2015-01-31 23:25;0;0;"2015 New Orleans #MardiGras #WaterPolo at #Tulane . #WaterPoloTravels @Tulane University http:// instagram.com/p/yiWOvcPmb5/";;@Tulane;#MardiGras #WaterPolo #Tulane #WaterPoloTravels;"561666528912097280";https://twitter.com/blodge8/status/561666528912097280
CunninghamNola;2015-01-31 23:10;5;5;"It's almost #KreweDuVieux time-woot woot-beautiful night 4 sum @parades #nola #MardiGras @MargaretOrr @KweilynWDSU pic.twitter.com/fYIukdmBvM";;@parades @MargaretOrr @KweilynWDSU;#KreweDuVieux #nola #MardiGras;"561662858769887232";https://twitter.com/CunninghamNola/status/561662858769887232
bound4somewhere;2015-01-31 23:09;0;1;"It's #kreweduvieux time!! Catch me lakeside on Royal though the Marigny. #mardigras @Den of Muses http:// instagram.com/p/yiUcsRkz1i/";;@Den;#kreweduvieux #mardigras;"561662609729265665";https://twitter.com/bound4somewhere/status/561662609729265665
michelekshort;2015-01-31 23:00;1;0;"So it begins. #mardigras #KreweduVieux @New Orleans, Louisiana http:// instagram.com/p/yiTWa4QNk8/";;@New;#mardigras #KreweduVieux;"561660318649421824";https://twitter.com/michelekshort/status/561660318649421824
melissaagibbs;2015-01-31 22:41;0;3;"Shopping for ballgowns and gloves #NOLA #Carnival #MardiGras #prettypretty #jeweltones pic.twitter.com/70NbmMU811";;;#NOLA #Carnival #MardiGras #prettypretty #jeweltones;"561655548832018432";https://twitter.com/melissaagibbs/status/561655548832018432
wigginstock;2015-01-31 22:39;0;2;"one of a million reasons why I love this city. #neworleans #nola #mardigras #brass @Lost Love Lounge http:// instagram.com/p/yiRBVjJQnc/";;@Lost;#neworleans #nola #mardigras #brass;"561655072342671362";https://twitter.com/wigginstock/status/561655072342671362
andrewnelson;2015-01-31 22:35;0;1;"Warming up for Krewe de Vieux. #Nola #mardigras @Mimi's In The Marigny http:// instagram.com/p/yiQkLsg4wS/";;@Mimi;#Nola #mardigras;"561654071489470465";https://twitter.com/andrewnelson/status/561654071489470465
